FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,first10secs,first30secs,last10secs,last30secs,shortResponse,Interval1,Interval2,Overlap1,Overlap2,Volume1,Volume2,Volume3,Pause1,Pause2,Pause3,TalkLength,Speed1,Speed2,Speed3,Speed4,Speed5,Speed6,Pitch1,Pitch2,Pitch3,Pitch4,cs
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,33,4,10,2,1,2,10,1,2023/01/09/12:50:08,00:01:04.0,00:01:06.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,2.9,5.7,0,0,5,2,2.6,0,5,0.5,0,6,8.9,5.6,6,3.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,34,1,7,7,1,2,3,9,2023/01/09/12:50:08,00:01:06.0,00:01:08.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,5.4,7.6,0,0,5,2,9.2,4,5,1.5,0.7,6,9.1,6.4,3.8,1.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,35,4,10,1,2,2,10,-2,2023/01/09/12:50:08,00:01:08.0,00:01:10.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4.6,0,0,5,2,10,3.5,5,0.5,0,6,4.5,5.7,4.2,5.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,36,4,4,2,2,2,4,-20,2023/01/09/12:50:08,00:01:10.0,00:01:12.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4,5.1,0,0,5,2,0,0,5,1,0,5,1.7,3,5.7,5.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,37,3,9,2,1,9,4,-4,2023/01/09/12:50:08,00:01:12.0,00:01:14.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.1,5.2,0,0,5,2,8.9,5.4,4.3,1,0,5,0.7,3.2,4.7,5.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,38,4,4,2,1,2,4,-20,2023/01/09/12:50:08,00:01:14.0,00:01:16.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.2,5,0,0,5,2,0.8,0,5,0,0,0,5,3.7,4.6,5.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,39,3,9,4,1,9,2,4,2023/01/09/12:50:08,00:01:16.0,00:01:18.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,6,6.8,0,0,5,2,0,0,5,1,0,7,8.1,3.4,5,5.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,40,4,10,3,1,2,10,-10,2023/01/09/12:50:08,00:01:18.0,00:01:20.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,1.4,4.7,0,0,5,2,10,1.4,5,0.5,0,6,8.5,3.8,3.8,3.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,41,4,10,2,1,9,10,-20,2023/01/09/12:50:08,00:01:20.0,00:01:22.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4,4.9,0,0,5,2,7.5,8.2,0.4,0.5,0,10,4.8,2,4.7,4.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,42,4,10,2,1,9,10,-15,2023/01/09/12:50:08,00:01:22.0,00:01:24.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.5,4.9,0,0,5,2,8.6,7.3,0,0,0,0,6.5,5.9,5.5,4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,43,3,9,7,1,9,1,-2,2023/01/09/12:50:08,00:01:24.0,00:01:26.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.3,3.9,0,0,5,2,10,5.6,0,1.5,1.4,10,1.3,3.6,5.4,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,44,4,4,2,1,2,4,-8,2023/01/09/12:50:08,00:01:26.0,00:01:28.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,2.1,5.5,0,0,5,2,8.4,3.5,5,0.5,0,6,6.1,3.2,4.8,4.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,45,4,4,2,1,2,4,-9,2023/01/09/12:50:08,00:01:28.0,00:01:30.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,1.8,4.6,0,0,5,2,5.8,7.6,4.8,1.5,1.4,6,8.3,3.3,4,4.8,0
