FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,229,3,10,1,1,10,9,-2,2022/12/28/14:05:41,00:10:31.6,00:10:32.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,230,3,7,1,1,7,3,19,2022/12/28/14:05:41,00:10:36.2,00:10:37.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,231,3,10,2,1,10,4,18,2022/12/28/14:05:41,00:10:38.3,00:10:39.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,232,3,10,2,1,10,4,6,2022/12/28/14:05:41,00:10:39.9,00:10:41.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,233,3,10,4,1,10,4,6,2022/12/28/14:05:41,00:10:41.8,00:10:42.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,234,3,10,2,1,10,4,18,2022/12/28/14:05:41,00:10:43.0,00:10:44.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,235,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:10:45.0,00:10:46.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,236,3,10,2,1,10,9,1,2022/12/28/14:05:41,00:10:50.0,00:10:51.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,237,3,10,4,2,10,4,13,2022/12/28/14:05:41,00:10:51.5,00:10:53.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,238,3,10,1,1,10,9,6,2022/12/28/14:05:41,00:10:54.6,00:10:55.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,239,3,10,1,1,10,9,20,2022/12/28/14:05:41,00:10:55.8,00:10:57.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,240,3,10,2,1,10,3,-1,2022/12/28/14:05:41,00:10:58.3,00:10:59.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,241,3,10,0,1,10,3,20,2022/12/28/14:05:41,00:11:01.0,00:11:01.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,242,3,10,1,1,10,9,8,2022/12/28/14:05:41,00:11:02.7,00:11:04.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,243,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:11:05.2,00:11:06.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,244,3,7,4,1,7,4,15,2022/12/28/14:05:41,00:11:08.1,00:11:09.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,245,3,10,4,2,10,3,20,2022/12/28/14:05:41,00:11:11.0,00:11:14.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,246,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:11:15.6,00:11:17.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,247,3,7,2,1,7,4,18,2022/12/28/14:05:41,00:11:18.3,00:11:19.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,248,3,10,2,2,10,9,7,2022/12/28/14:05:41,00:11:20.5,00:11:22.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,249,4,10,1,1,7,10,-8,2022/12/28/14:05:41,00:11:24.1,00:11:24.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,250,3,10,4,1,10,3,13,2022/12/28/14:05:41,00:11:25.2,00:11:26.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,251,3,7,2,1,7,3,20,2022/12/28/14:05:41,00:11:27.2,00:11:29.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,252,3,10,2,1,10,4,11,2022/12/28/14:05:41,00:11:31.3,00:11:31.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,253,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:11:32.1,00:11:33.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,254,3,10,2,1,10,4,14,2022/12/28/14:05:41,00:11:34.0,00:11:34.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,255,3,10,4,2,10,4,14,2022/12/28/14:05:41,00:11:35.8,00:11:38.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,256,3,10,2,1,10,3,10,2022/12/28/14:05:41,00:11:38.5,00:11:39.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,257,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:11:40.6,00:11:43.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,258,3,10,0,1,10,3,16,2022/12/28/14:05:41,00:11:45.2,00:11:46.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,259,3,10,4,1,10,4,15,2022/12/28/14:05:41,00:11:47.7,00:11:49.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,260,3,10,4,1,10,4,20,2022/12/28/14:05:41,00:11:50.8,00:11:52.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,261,3,10,2,1,10,4,-2,2022/12/28/14:05:41,00:11:53.5,00:11:54.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,262,3,10,4,1,10,4,-1,2022/12/28/14:05:41,00:11:55.0,00:11:55.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,263,3,10,0,2,10,3,15,2022/12/28/14:05:41,00:11:56.1,00:11:59.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,264,3,7,2,1,7,4,6,2022/12/28/14:05:41,00:12:01.1,00:12:01.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,265,3,10,2,2,10,4,8,2022/12/28/14:05:41,00:12:02.4,00:12:05.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,266,3,7,2,1,7,4,19,2022/12/28/14:05:41,00:12:05.3,00:12:06.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,267,3,10,2,1,10,4,5,2022/12/28/14:05:41,00:12:07.2,00:12:08.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,268,3,10,4,1,10,3,2,2022/12/28/14:05:41,00:12:08.3,00:12:10.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,269,3,10,1,2,10,9,-3,2022/12/28/14:05:41,00:12:10.5,00:12:13.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,270,3,10,1,2,10,9,-5,2022/12/28/14:05:41,00:12:15.9,00:12:16.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,271,3,10,0,1,10,3,-1,2022/12/28/14:05:41,00:12:20.0,00:12:21.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,272,3,10,1,2,10,3,20,2022/12/28/14:05:41,00:12:26.8,00:12:29.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,273,3,10,1,1,10,9,20,2022/12/28/14:05:41,00:12:32.2,00:12:33.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,274,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:12:34.1,00:12:35.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,275,3,7,2,1,7,3,20,2022/12/28/14:05:41,00:12:35.8,00:12:36.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,276,3,10,2,1,10,4,17,2022/12/28/14:05:41,00:12:37.2,00:12:38.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,277,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:12:39.8,00:12:41.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,278,3,7,4,2,7,4,20,2022/12/28/14:05:41,00:12:42.7,00:12:43.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,279,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:12:45.4,00:12:48.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,280,3,10,2,1,10,4,9,2022/12/28/14:05:41,00:12:49.3,00:12:50.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,281,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:12:50.4,00:12:51.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,282,3,10,4,2,10,4,20,2022/12/28/14:05:41,00:12:52.1,00:12:54.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,283,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:12:55.2,00:12:57.0,1,OK
